ALLEY,ALLEE
ALLEY,ALLY
ALLEY,ALY
ALLEY,AL
ANNEX,ANEX
ANNEX,ANNX
ANNEX,ANX
ARCADE,ARC
AVENUE,AV
AVENUE,AVE
AVENUE,AVEN
AVENUE,AVENU
AVENUE,AVN
AVENUE,AVNUE
AVENUE,AVEUNE
BEACH,BCH
BOULEVARD,BLVD
BOULEVARD,BOUL
BOULEVARD,BOULV
BOULEVARD,BL
BRANCH,BR
BRANCH,BRNCH
BRIDGE,BRDGE
BRIDGE,BRG
BROOK,BRK
CAMP,CMP
CAMP,CP
CAUSEWAY,CAUSWAY
CAUSEWAY,CSWY
CENTER,CEN
CENTER,CENT
CENTER,CENTR
CENTER,CENTRE
CENTER,CNTER
CENTER,CNTR
CENTER,CTR
CIRCLE,CIR
CIRCLE,CIRC
CIRCLE,CIRCL
CIRCLE,CRCL
CIRCLE,CRCLE
CLUB,CLB
CONCOURSE,CONC
CORNER,COR
COURSE,CRSE
COURT,CRT
COURT,CT
COVE,CV
CREEK,CK
CREEK,CR
CREEK,CRK
CRESCENT,CRECENT
CRESCENT,CRES
CRESCENT,CRESENT
CRESCENT,CRSCNT
CRESCENT,CRSENT
CRESCENT,CRSNT
DRIVE,DR
DRIVE,DRIV
DRIVE,DRV
ESTATE,EST
EXPRESSWAY,EXP
EXPRESSWAY,EX
EXPRESSWAY,EXPR
EXPRESSWAY,EXPRESS
EXPRESSWAY,EXPW
EXPRESSWAY,EXPWY
EXPRESSWAY,EXPY
EXPRESSWAY,XW
EXTENSION,EXT
EXTENSION,EXTN
EXTENSION,EXTNSN
FERRY,FRRY
FERRY,FRY
FIELD,FLD
FIELDS,FLDS
FLAT,FLT
FLATS,FLTS
FOREST,FORESTS
FOREST,FRST
FORT,FRT
FORT,FT
FREEWAY,FREEWY
FREEWAY,FRWAY
FREEWAY,FRWY
FREEWAY,FWY
GARDEN,GARDN
GARDEN,GDN
GARDEN,GRDEN
GARDEN,GRDN
GARDENS,GDNS
GARDENS,GRDNS
GATEWAY,GATEWY
GATEWAY,GATWAY
GATEWAY,GTWAY
GATEWAY,GTWY
GREEN,GRN
GROVE,GROV
GROVE,GRV
HARBOR,HARB
HARBOR,HARBR
HARBOR,HBR
HARBOR,HRBOR
HAVEN,HAVN
HAVEN,HVN
HEIGHTS,HEIGHT
HEIGHTS,HGTS
HEIGHTS,HT
HEIGHTS,HTS
HIGHWAY,HIGHWY
HIGHWAY,HIWAY
HIGHWAY,HIWY
HIGHWAY,HWAY
HIGHWAY,HWY
HILL,HL
HILLS,HLS
ISLAND,IS
ISLAND,ISL
ISLAND,ISLD
ISLAND,ISLND
ISLANDS,ISLNDS
ISLANDS,ISS
LAKE,LK
LAKES,LKS
LANDING,LNDG
LANDING,LNDNG
LANE,LA
LANE,LANES
LANE,LN
LODGE,LDG
LODGE,LDGE
LODGE,LODG
LOOP,LOOPS
MANOR,MNR
MEADOW,MDW
MEADOWS,MDWS
MEADOWS,MEDOWS
MILL,ML
MOUNT,MNT
MOUNT,MT
NECK,NCK
OVAL,OVL
PARK,PK
PARK,PRK
PARKWAY,PARKWY
PARKWAY,PKWAY
PARKWAY,PKWY
PARKWAY,PKY
PARKWAY,PKW
PARKWAY,PW
PATH,PATHS
PIKE,PIKES
PLACE,PL
PLACE,PLC
PLAZA,PLZ
PLAZA,PLZA
POINT,PT
PORT,PRT
RIDGE,RDG
RIDGE,RDGE
RIVER,RIV
RIVER,RIVR
RIVER,RVR
ROAD,RD
ROAD,RO
SHORE,SHOAR
SHORE,SHR
SQUARE,SQ
SQUARE,SQR
SQUARE,SQRE
SQUARE,SQU
STATION,STA
STATION,STATN
STATION,STN
STREET,ST
STREET,STR
STREET,STRT
TERRACE,TER
TERRACE,TERR
TRACK,TRACKS
TRACK,TRAK
TRACK,TRK
TRACK,TRKS
TRAIL,TR
TRAIL,TRAILS
TRAIL,TRL
TRAIL,TRLS
TUNNEL,TUNEL
TUNNEL,TUNL
TUNNEL,TUNLS
TUNNEL,TUNNELS
TUNNEL,TUNNL
TURNPIKE,TPK
TURNPIKE,TNPK
TURNPIKE,TPKE
TURNPIKE,TRNPK
TURNPIKE,TRPK
TURNPIKE,TURNPK
UNION,UN
VIADUCT,VDCT
VIADUCT,VIA
VIADUCT,VIADCT
VIEW,VW
VILLAGE,VILL
VILLAGE,VILLAG
VILLAGE,VILLG
VILLAGE,VILLIAGE
VILLAGE,VLG
VILLAGE,VLGE
WALK,WK
WAY,WY
